ward_spatial,longitude,latitude
16,-87.6698017,41.77378066
16,-87.66194496,41.77273527
17,-87.6623167,41.76710179
20,-87.6079468,41.7733342
20,-87.59499833,41.77608152
5,-87.59598752,41.79061168
16,-87.6622765,41.78158073
8,-87.59089895,41.76517418
8,-87.59831884,41.75354025
17,-87.64941643,41.75736778
17,-87.67559453,41.76398383
17,-87.64702665,41.74005639
8,-87.59334918,41.74911224
14,-87.7025811,41.78599544
3,-87.63534063,41.8127632
20,-87.64627535,41.80312906
20,-87.63391849,41.79551174
3,-87.62374622,41.80016925
3,-87.62140608,41.79793468
3,-87.62105749,41.82125071
11,-87.64027702,41.8196404
16,-87.68013202,41.77636881
6,-87.62714017,41.77020493
6,-87.62456897,41.77013229
20,-87.63913381,41.78143876
16,-87.66162138,41.78740146
17,-87.64135916,41.75500585
17,-87.65760503,41.76474107
17,-87.65361965,41.75927246
17,-87.66581905,41.76462358
17,-87.66467038,41.76431674
17,-87.671407,41.7628864
17,-87.66460052,41.76165696
7,-87.5458276,41.74491967
21,-87.65402142,41.70059556
37,-87.75506911,41.8900008
24,-87.73688961,41.86064659
28,-87.73102628,41.88423294
27,-87.6969852,41.88134611
27,-87.68696154,41.88609565
27,-87.69685889,41.87514921
24,-87.72178763,41.86777339
28,-87.73310328,41.87543111
28,-87.72667276,41.87551594
27,-87.65387524,41.89387306
20,-87.63140836,41.81281096
16,-87.66633047,41.8004954
16,-87.66802415,41.79920426
20,-87.64469099,41.80367682
13,-87.76493165,41.77460622
14,-87.71001563,41.77548213
9,-87.62727504,41.70134164
19,-87.65795327,41.70253921
19,-87.65872894,41.7020312
10,-87.53926259,41.72163053
7,-87.55673142,41.73029722
21,-87.6333041,41.68392938
9,-87.64126323,41.66966664
21,-87.64572558,41.67215506
10,-87.55969147,41.64718982
9,-87.62812971,41.68835223
10,-87.57090009,41.67698959
10,-87.56920191,41.67706134
9,-87.61847261,41.67599959
21,-87.63258162,41.67646796
9,-87.61918669,41.69494556
10,-87.5644986,41.65070956
7,-87.55790936,41.73568766
10,-87.54958043,41.71514939
21,-87.66001388,41.7261697
21,-87.6317031,41.68733081
24,-87.71822633,41.86314793
24,-87.72290134,41.85995021
24,-87.69741186,41.84709459
28,-87.74476541,41.88474355
36,-87.69750982,41.89538092
27,-87.7033232,41.88682506
3,-87.62136948,41.82916339
15,-87.66547173,41.81311195
15,-87.68212281,41.80726294
16,-87.66383152,41.79828818
15,-87.64274144,41.80668984
13,-87.75152765,41.77798992
3,-87.62078965,41.8114466
16,-87.67092278,41.77097895
6,-87.63565712,41.76851524
6,-87.63505522,41.76569813
20,-87.63714148,41.78288472
16,-87.66217533,41.78079093
7,-87.5850683,41.76495698
6,-87.63552608,41.7646611
7,-87.55893321,41.75482639
7,-87.5585679,41.74946714
10,-87.54451616,41.74016544
19,-87.68392961,41.68947558
38,-87.78827231,41.95659882
1,-87.69675821,41.91452754
28,-87.74899304,41.8788057
19,-87.66291399,41.70806315
10,-87.56737715,41.67632073
10,-87.56805371,41.67450451
9,-87.62103839,41.67231448
21,-87.63889436,41.67319774
9,-87.62412399,41.67520919
10,-87.53200964,41.70284022
21,-87.64903365,41.69162601
20,-87.66528365,41.80542631
20,-87.65956085,41.80080925
20,-87.6437429,41.80108509
4,-87.60988158,41.81048482
16,-87.65234827,41.77666657
17,-87.66350695,41.76770348
6,-87.63991816,41.76648164
20,-87.63874901,41.78500268
7,-87.58204363,41.76401288
6,-87.60739559,41.75468213
6,-87.63307787,41.76500139
10,-87.55427699,41.74130775
9,-87.60816606,41.70712885
9,-87.62718112,41.69774252
9,-87.62967343,41.69588877
9,-87.62656556,41.69553736
9,-87.62391173,41.69413305
21,-87.65640881,41.70218153
40,-87.68008661,42.0043822
3,-87.621471,41.83393491
30,-87.74038766,41.93989851
32,-87.66349473,41.92031725
37,-87.76055505,41.8818609
24,-87.70943438,41.8580208
22,-87.71620356,41.83866093
28,-87.74096194,41.89092113
28,-87.69754736,41.87351272
28,-87.71462766,41.87579364
10,-87.60177039,41.64974073
10,-87.53321829,41.70678962
21,-87.64916552,41.6871395
9,-87.6267928,41.68326481
10,-87.56984827,41.68075883
10,-87.56984144,41.68020948
10,-87.56933604,41.68048807
9,-87.61781851,41.66363829
21,-87.64332317,41.71098822
19,-87.66877819,41.69011
10,-87.55285114,41.66556577
10,-87.55224494,41.66440766
2,-87.62342764,41.89620592
34,-87.66719493,41.87694943
15,-87.68435896,41.79053546
36,-87.69234352,41.90071874
24,-87.72113516,41.86539356
24,-87.71925587,41.86042606
